04-Jun-2025 12:28:28

 -3.6208E-01,   5.6000E-09,   2.9100E-08,  -3.5234E-05
 -3.4476E-01,   9.9870E-06,   6.4100E-08,  -3.4704E-05
 -3.4484E-01,   1.9995E-05,   9.5100E-08,  -3.4597E-05
 -3.4115E-01,   2.9985E-05,   1.2610E-07,  -3.4451E-05
 -3.0823E-01,   3.9995E-05,   1.5210E-07,  -3.4045E-05
 -3.3910E-01,   4.9983E-05,   1.7810E-07,  -3.3894E-05
 -3.4378E-01,   5.9984E-05,   2.0710E-07,  -3.3737E-05
 -3.3812E-01,   6.9968E-05,   2.3610E-07,  -3.3520E-05
 -3.2601E-01,   7.9965E-05,   2.6010E-07,  -3.3211E-05
 -3.2917E-01,   8.9950E-05,   2.8910E-07,  -3.3012E-05
 -3.2597E-01,   2.1900E-07,   1.0406E-05,  -3.5161E-05
 -3.3101E-01,   1.0079E-05,   1.0430E-05,  -3.4469E-05
 -2.8008E-01,   2.0087E-05,   1.0443E-05,  -3.4393E-05
 -3.1953E-01,   3.0075E-05,   1.0470E-05,  -3.4413E-05
 -3.1727E-01,   4.0090E-05,   1.0496E-05,  -3.4246E-05
 -3.1937E-01,   5.0078E-05,   1.0527E-05,  -3.4040E-05
 -3.2612E-01,   6.0088E-05,   1.0560E-05,  -3.3827E-05
 -3.2522E-01,   7.0069E-05,   1.0591E-05,  -3.3686E-05
 -3.0216E-01,   8.0077E-05,   1.0626E-05,  -3.3416E-05
 -3.1082E-01,   9.0065E-05,   1.0661E-05,  -3.3263E-05
 -3.1812E-01,   3.1580E-07,   2.0765E-05,  -3.5497E-05
 -3.3102E-01,   1.0183E-05,   2.0798E-05,  -3.4971E-05
 -1.0258E+00,   2.0186E-05,   2.0820E-05,  -3.1991E-05
 -3.2105E-01,   3.0174E-05,   2.0843E-05,  -3.5021E-05
 -3.2169E-01,   4.0191E-05,   2.0869E-05,  -3.4568E-05
 -3.1435E-01,   5.0183E-05,   2.0893E-05,  -3.4310E-05
 -1.6334E-01,   6.0178E-05,   2.0920E-05,  -3.4148E-05
 -1.9791E-01,   7.0166E-05,   2.0946E-05,  -3.5469E-05
 -2.9763E-01,   8.0174E-05,   2.0977E-05,  -3.5035E-05
 -1.8616E-01,   9.0164E-05,   2.1003E-05,  -3.5456E-05
 -2.2067E-01,   4.2360E-07,   3.1123E-05,  -3.7989E-05
 -2.5813E-01,   1.0288E-05,   3.1171E-05,  -3.7520E-05
 -2.0517E-01,   2.0298E-05,   3.1209E-05,  -3.7303E-05
 -2.0197E-01,   3.0293E-05,   3.1237E-05,  -3.7208E-05
 -2.3619E-01,   4.0290E-05,   3.1266E-05,  -3.7276E-05
 -2.1463E-01,   5.0280E-05,   3.1297E-05,  -3.7038E-05
 -1.6059E-01,   6.0286E-05,   3.1321E-05,  -3.6782E-05
 -2.7597E-01,   7.0280E-05,   3.1350E-05,  -3.6611E-05
 -2.3757E-01,   8.0286E-05,   3.1378E-05,  -3.6410E-05
 -2.3431E-01,   9.0276E-05,   3.1407E-05,  -3.6243E-05
 -2.3440E-01,   5.0280E-07,   4.1520E-05,  -3.8382E-05
 -2.5873E-01,   1.0368E-05,   4.1559E-05,  -3.7957E-05
 -2.9026E-01,   2.0375E-05,   4.1579E-05,  -3.7778E-05
 -2.2315E-01,   3.0361E-05,   4.1606E-05,  -3.7613E-05
 -2.4591E-01,   4.0360E-05,   4.1634E-05,  -3.7761E-05
